event,timestamp,action
menu,5.435217,open
menu,6.933592,close
menu,8.482108,open
menu,18.35692,open
menu,25.16859,open
menu,47.1839,open
menu,73.3616,open
menu,93.67876,open
menu,96.02705,close
menu,133.3786,open
menu,157.9078,open
menu,186.3998,open
menu,191.7788,open
menu,202.5524,open
menu,211.5454,open
menu,237.9736,open
menu,254.1424,open
menu,261.1538,open
menu,264.4683,open
